Name,Prediction
tyler,2
jonhson,1
asghar,7
peal,7
stoppelbein,10
rotshild,12
barron,10
names,3
vilkov,4
beaulieu,6
hludov,-5
bektuganov,11
tracey,2
isherwood,9
snelker,10
edgson,8
tugushev,10
awranek,10
mahtiev,-1
stedman,6
tobolkin,7
yee,5
perreault,4
zavodchikov,0
rumsey,3
pender,3
calveley,7
jumenko,10
loskot,6
lubutin,10
vesninov,0
mikhail,6
ashley,6
brandrick,10
harlanov,11
talalai,8
benetton,2
albats,1
vozilov,-4
oddie,12
yeardsley,5
zelenin,1
childs,9
fellmen,3
gray,4
roscoe,7
zhivoderov,-4
farrelly,6
polibin,0
von wegberg,4
baklashoff,11
likin,0
awtchinnikoff,11
belchenko,7
lejikov,10
prikazchikov,2
zhalkovsky,4
molchadsky,15
valiev,4
nahas,3
stroman,9
tovstukha,11
judanov,8
pian,10
peter,6
bernard,8
chikirev,5
klerx,11
harmansky,6
slapnickova,10
tsuchie,3
thornhill,8
chikhachev,8
abitoff,11
janishin,0
veligorsky,11
androkhanov,6
bond,9
alst,7
sakiev,-1
nezavitin,0
truchanow,10
buckholtz,10
kuiper,6
simons,12
zheltoukhov,6
awad,8
pochitalin,4
fortin,7
imada,7
bove,-7
morcos,5
virenius,8
yuzvikov,0
bagdatiev,7
yang,6
jedynak,3
sakagami,7
djabruev,10
miao,1
tcheh,3
croft,4
procter,5
pavot,-3
mooney,3
fojtikova,2
laws,10
penfold,6
agenosov,6
hanjin,6
zhitinev,3
armani,9
kinnersley,6
balayan,3
kinchin,1
sitz,5
martin,9
rotast,11
djahaya,7
rustamov,8
lutoshkin,15
makukha,5
vandroogenbroeck,10
pushkov,10
nahas,3
gladysh,3
vollans,11
salisbury,14
vasserman,11
tropko,5
chu,3
jigun,2
totah,11
geisler,6
tsvelev,0
shelton,7
gudzenko,6
arian,0
tzekhmistrenko,5
hagias,7
malafa,8
issa,14
ahearn,8
wheeler,9
goloshov,10
jivotinsky,4
timirgazeev,4
sheldon,9
ha,8
gludin,4
maloney,4
hachirobei,4
feeney,6
jorov,6
simecek,5
vinny,-4
evald,0
ta,7
bakadorov,7
mikhalevsky,9
episcopo,10
vavkin,4
jelezny,1
kartalov,11
antoun,2
researcher,9
homentovsky,10
mosheev,8
davlertgareev,0
marik,0
lotman,5
gashkin,11
tuma,4
adoratski,9
nader,2
behteev,10
andrusenko,11
yanzinov,1
krantz,6
kikuchi,0
nifterick,4
daher,2
bahar,4
avrorin,13
adelson,9
handal,6
mccall,8
pounder,8
bazarhandaev,11
togunov,6
guerra,5
zhilyaev,5
djibuti,4
zogalev,6
truong,2
yampolsky,5
steuben,7
adam,7
gemmell,5
vaksman,9
jigailo,0
alexander,6
dovzhuk,8
hausler,7
kalb,2
haruguchi,6
van-puteren,8
vazhnichy,6
fitzpatrick,11
mihailidi,8
sunada,4
rokhatsevich,11
chaput,7
oleastro,10
sheludko,8
issa,14
waring,10
o'connor,10
anton,6
kraus,2
sullivan,11
findlay,3
dienko,6
maria,8
rjavinsky,10
kelland,9
marholenko,10
young,1
dubhain,4
jilnikov,4
vilyamovsky,0
daher,2
boerio,7
jelezov,1
javoronsky,6
babkov,11
moloshnikov,10
merlo,8
agabekov,4
keane,4
demko,4
abaturov,8
vagin,1
jitin,4
jordà,0
antonowitsch,9
pape,10
novoselski,9
babusenko,11
tur,5
mihalushkin,4
jagudin,6
forbes,8
mikhalev,13
deeb,4
sheluntsov,14
couture,7
assaf,7
opp,10
olding,5
jalunin,6
tchekhladze,6
jakimets,10
whitmore,13
giersig,4
zhukovich,6
valshin,1
jemaitis,4
